lemma	example	translation
pozajmljenica	Ova reč je *pozajmljenica* iz turskog.	Это слово — *заимствование* из турецкого.
kovanica	Autor je uveo sopstvenu *kovanicu*.	Автор ввёл собственный *неологизм*.
sinonim	Za taj pojam postoji nekoliko *sinonima*.	Для этого понятия есть несколько *синонимов*.
antonim	Pronađite *antonim* zadatoj reči.	Найдите *антоним* к данному слову.
nijansiranje	*Nijansiranje* značenja je stvar iskustva.	*Нюансировка* значений — дело опыта.
ekspresivan	Odabrao je namerno *ekspresivan* izraz.	Он выбрал намеренно *выразительное* выражение.
svečan	Govor je bio previše *svečan* za tu priliku.	Речь была слишком *торжественной* для такого случая.
pejorativan	Ta reč danas ima *pejorativno* značenje.	У этого слова сегодня *уничижительное* значение.
arhaičan	Konstrukcija zvuči *arhaično*.	Конструкция звучит *архаично*.
apstrakcija	To je *apstrakcija* daleka od prakse.	Это *абстракция*, далёкая от практики.
sinteza	Rad je *sinteza* dva pristupa.	Работа — *синтез* двух подходов.
antiteza	Cela strofa počiva na *antitezi*.	Вся строфа держится на *антитезе*.
paradoks	U tome i jeste *paradoks* njegove teze.	В этом и состоит *парадокс* его тезиса.
aksiom	To se uzima kao *aksiom*, bez dokaza.	Это принимается как *аксиома*, без доказательства.
premisa	Zaključak je pogrešan jer je *premisa* pogrešna.	Вывод ошибочен, потому что *посылка* ошибочна.
implikacija	*Implikacija* tog stava je dalekosežna.	*Импликация* этой позиции далеко идущая.
relativizovati	Ne treba *relativizovati* očigledne činjenice.	Не следует *релятивизировать* очевидные факты.
apstrahovati	Ovde možemo *apstrahovati* pojedinosti.	Здесь мы можем *абстрагироваться* от подробностей.
sublimirati	Bol je *sublimirao* u umetnost.	Боль он *сублимировал* в искусство.
iznedriti	To vreme je *iznedrilo* nekoliko velikih pisaca.	То время *породило* нескольких великих писателей.
ozvaničiti	Sporazum je *ozvaničen* prošle nedelje.	Соглашение *официально закреплено* на прошлой неделе.
obznaniti	Odluku su *obznanili* tek uveče.	Решение *обнародовали* только вечером.
posustati	Pred kraj puta je *posustao*.	К концу пути он *изнемог*.
ustuknuti	Pred takvim argumentom je *ustuknuo*.	Перед таким доводом он *отступил*.
prionuti	*Prionuo* je na posao bez odlaganja.	Он *принялся* за работу без промедления.
utonuti	*Utonuo* je u misli i nije ništa čuo.	Он *погрузился* в мысли и ничего не слышал.
rasplinuti	Prvobitna ideja se *rasplinula* u detaljima.	Изначальная идея *расплылась* в деталях.
iskristalisati	Posle duge rasprave se *iskristalisao* stav.	После долгого спора позиция *выкристаллизовалась*.
preovladati	*Preovladalo* je mišljenje da treba čekati.	*Возобладало* мнение, что надо ждать.
neizreciv	Osetio je *neizrecivo* olakšanje.	Он почувствовал *невыразимое* облегчение.
nesaglediv	Posledice su bile *nesagledive*.	Последствия были *необозримыми*.
dalekosežan	Odluka ima *dalekosežne* posledice.	Решение имеет *далеко идущие* последствия.
bezuslovan	Tražio je *bezuslovnu* podršku.	Он требовал *безусловной* поддержки.
nepobitan	Dokaz je bio *nepobitan*.	Доказательство было *неопровержимым*.
prefinjen	Ima *prefinjen* osećaj za jezik.	У него *утончённое* чувство языка.
nenametljiv	Njegova pomoć je bila tiha i *nenametljiva*.	Его помощь была тихой и *ненавязчивой*.
svojevrstan	To je *svojevrstan* spoj tradicije i moderne.	Это *своеобразное* соединение традиции и современности.
nedokučiv	Njegovi motivi ostali su *nedokučivi*.	Его мотивы остались *непостижимыми*.
beskompromisan	Bio je *beskompromisan* u pitanjima kvaliteta.	Он был *бескомпромиссен* в вопросах качества.
