lemma	example	translation
uložiti	*Uložio* je sav novac u firmu.	Он *вложил* все деньги в фирму.
povećati	*Povećali* su cenu za pet odsto.	Они *повысили* цену на пять процентов.
smanjiti	Troškove treba *smanjiti* upola.	Расходы надо *сократить* вдвое.
vest	*Vest* se brzo proširila.	*Новость* быстро разошлась.
izveštaj	*Izveštaj* je objavljen jutros.	*Отчёт* опубликован сегодня утром.
članak	Pročitao sam zanimljiv *članak*.	Я прочитал интересную *статью*.
naslov	*Naslov* teksta je previše dug.	*Заголовок* текста слишком длинный.
intervju	*Intervju* traje četrdeset minuta.	*Интервью* длится сорок минут.
izjava	Njegova *izjava* je izazvala raspravu.	Его *заявление* вызвало спор.
javnost	*Javnost* traži odgovore.	*Общественность* требует ответов.
istina	*Istina* je izašla na videlo.	*Правда* вышла наружу.
laž	Ta priča je obična *laž*.	Эта история — обыкновенная *ложь*.
glasina	*Glasina* se pokazala kao netačna.	*Слух* оказался неверным.
izvor	Novinar nije otkrio *izvor*.	Журналист не раскрыл *источник*.
objaviti	List je *objavio* ceo tekst.	Газета *опубликовала* весь текст.
tvrditi	*Tvrdi* da nije ništa znao.	Он *утверждает*, что ничего не знал.
poricati	*Poriče* svaku vezu sa slučajem.	Он *отрицает* всякую связь с делом.
preneti	Agencija je *prenela* vest prva.	Агентство *передало* новость первым.
nauka	*Nauka* nudi jasan odgovor.	*Наука* даёт ясный ответ.
istraživanje	*Istraživanje* je trajalo dve godine.	*Исследование* длилось два года.
otkriće	To *otkriće* je promenilo medicinu.	Это *открытие* изменило медицину.
teorija	*Teorija* je potvrđena eksperimentom.	*Теория* подтверждена экспериментом.
dokaz	Za tu tvrdnju nema *dokaza*.	Для этого утверждения нет *доказательств*.
metoda	Ova *metoda* daje bolje rezultate.	Этот *метод* даёт лучшие результаты.
rezultat	*Rezultat* je bio iznad očekivanja.	*Результат* превзошёл ожидания.
merenje	*Merenje* se ponavlja tri puta.	*Измерение* повторяется трижды.
podatak	Ovaj *podatak* nije proveren.	Эти *данные* не проверены.
pojava	Ta *pojava* se javlja samo zimi.	Это *явление* случается только зимой.
uzrok	*Uzrok* požara još nije poznat.	*Причина* пожара пока неизвестна.
svrha	Koja je *svrha* ovog pravila?	Какова *цель* этого правила?
dokazati	Teško je *dokazati* takvu tvrdnju.	Трудно *доказать* такое утверждение.
proveriti	*Proveri* podatke pre objave.	*Проверь* данные перед публикацией.
zaključiti	Iz toga možemo *zaključiti* da greše.	Из этого можно *заключить*, что они ошибаются.
kultura	*Kultura* se prenosi s kolena na koleno.	*Культура* передаётся из поколения в поколение.
umetnost	*Umetnost* ne mora da bude lepa.	*Искусство* не обязано быть красивым.
umetnik	*Umetnik* je izložio deset slika.	*Художник* выставил десять картин.
književnost	Srpska *književnost* ima bogatu tradiciju.	Сербская *литература* имеет богатую традицию.
pisac	*Pisac* je predstavio novu knjigu.	*Писатель* представил новую книгу.
roman	*Roman* ima šesto strana.	В *романе* шестьсот страниц.
priča	Ova *priča* se čita za pola sata.	Этот *рассказ* читается за полчаса.
junak	Glavni *junak* napušta selo.	Главный *герой* покидает село.
radnja	*Radnja* se odvija u devetnaestom veku.	*Действие* происходит в девятнадцатом веке.
predstava	*Predstava* počinje u devetnaest sati.	*Спектакль* начинается в девятнадцать часов.
publika	*Publika* je aplaudirala deset minuta.	*Публика* аплодировала десять минут.
nasleđe	Ovo je deo našeg kulturnog *nasleđa*.	Это часть нашего культурного *наследия*.
folklor	*Folklor* čuva stare pesme.	*Фольклор* хранит старые песни.
verovanje	To je staro narodno *verovanje*.	Это старое народное *поверье*.
poznanstvo	Naše *poznanstvo* traje od fakulteta.	Наше *знакомство* длится с университета.
poverenje	Izgubio je *poverenje* kolega.	Он потерял *доверие* коллег.
prijateljstvo	Njihovo *prijateljstvo* traje trideset godina.	Их *дружба* длится тридцать лет.
svađa	*Svađa* je počela zbog sitnice.	*Ссора* началась из-за мелочи.
pomirenje	*Pomirenje* je došlo posle godinu dana.	*Примирение* пришло через год.
dogovor	Naš *dogovor* i dalje važi.	Наша *договорённость* всё ещё в силе.
savet	Dao mi je koristan *savet*.	Он дал мне полезный *совет*.
molba	Uputio je *molbu* upravi.	Он направил *просьбу* руководству.
zahvalnost	Izrazio je *zahvalnost* svima.	Он выразил *благодарность* всем.
izvinjenje	Prihvatila je njegovo *izvinjenje*.	Она приняла его *извинение*.
uvreda	To je bila teška *uvreda*.	Это было тяжёлое *оскорбление*.
poštovanje	Prema starijima gaji *poštovanje*.	К старшим он питает *уважение*.
svađati	Deca se *svađaju* oko igračke.	Дети *ссорятся* из-за игрушки.
pomiriti	Uspeli smo da ih *pomirimo*.	Нам удалось их *помирить*.
poštovati	*Poštujem* tvoju odluku.	Я *уважаю* твоё решение.
podržati	Kolege su ga *podržale*.	Коллеги его *поддержали*.
mišljenje	Moje *mišljenje* se razlikuje od tvog.	Моё *мнение* отличается от твоего.
stav	Njegov *stav* se nije promenio.	Его *позиция* не изменилась.
ideja	To je odlična *ideja*.	Это отличная *идея*.
pojam	Nemam *pojma* o čemu govoriš.	Я не имею *понятия*, о чём ты говоришь.
smisao	Ne vidim *smisao* u tome.	Я не вижу в этом *смысла*.
značenje	Ova reč ima dva *značenja*.	У этого слова два *значения*.
sumnja	Ostala je *sumnja* u tačnost podataka.	Осталось *сомнение* в точности данных.
pretpostavka	To je samo *pretpostavka*, ne činjenica.	Это лишь *предположение*, не факт.
zaključak	*Zaključak* je bio očekivan.	*Вывод* был ожидаемым.
pažnja	Obratite *pažnju* na detalje.	Обратите *внимание* на детали.
sećanje	*Sećanje* na to leto mu je ostalo.	*Воспоминание* о том лете у него осталось.
svest	Došao je *svesti* posle nekoliko minuta.	Он пришёл в *сознание* через несколько минут.
smatrati	*Smatram* da je odluka pogrešna.	Я *считаю*, что решение ошибочно.
sumnjati	*Sumnjam* da će stići na vreme.	Я *сомневаюсь*, что он успеет вовремя.
pretpostaviti	*Pretpostavimo* da je tako.	*Предположим*, что это так.
primetiti	*Primetio* sam grešku u tekstu.	Я *заметил* ошибку в тексте.
shvatiti	Tek sada sam *shvatio* šta je mislio.	Только сейчас я *понял*, что он имел в виду.
razmisliti	Moram da *razmislim* do sutra.	Мне надо *подумать* до завтра.
dijalog	*Dijalog* među stranama je prekinut.	*Диалог* между сторонами прерван.
rasprava	*Rasprava* je trajala do ponoći.	*Обсуждение* длилось до полуночи.
tvrdnja	Ta *tvrdnja* zahteva dokaz.	Это *утверждение* требует доказательства.
upit	Poslali smo *upit* i čekamo odgovor.	Мы отправили *запрос* и ждём ответа.
replika	Njegova *replika* je nasmejala salu.	Его *реплика* рассмешила зал.
objašnjenje	Traži jasno *objašnjenje*.	Он требует ясного *объяснения*.
opis	*Opis* posla je previše uopšten.	*Описание* работы слишком общее.
primedba	Imam jednu *primedbu* na tekst.	У меня одно *замечание* к тексту.
predlog	Vaš *predlog* ćemo razmotriti.	Ваше *предложение* мы рассмотрим.
obećanje	Dao je *obećanje* i održao ga.	Он дал *обещание* и сдержал его.
spomenuti	Nije *spomenuo* ni reč o tome.	Он не *упомянул* об этом ни слова.
naglasiti	Želim da *naglasim* jednu stvar.	Я хочу *подчеркнуть* одну вещь.
opisati	*Opiši* mi kako je izgledao.	*Опиши* мне, как он выглядел.
prigovoriti	Niko nije *prigovorio* predlogu.	Никто не *возразил* против предложения.
složiti	Svi su se *složili* sa planom.	Все *согласились* с планом.
zakonitost	Sud proverava *zakonitost* odluke.	Суд проверяет *законность* решения.
zakonik	Krivični *zakonik* je izmenjen.	Уголовный *кодекс* изменён.
sudija	*Sudija* je odložio ročište.	*Судья* отложил заседание.
advokat	*Advokat* je uložio žalbu.	*Адвокат* подал жалобу.
tužba	*Tužba* je podneta prošle nedelje.	*Иск* подан на прошлой неделе.
presuda	*Presuda* je izrečena u petak.	*Приговор* вынесен в пятницу.
kazna	*Kazna* iznosi dvadeset hiljada dinara.	*Штраф* составляет двадцать тысяч динаров.
krivica	Njegova *krivica* nije dokazana.	Его *вина* не доказана.
svedok	*Svedok* je promenio iskaz.	*Свидетель* изменил показания.
dokumentacija	*Dokumentacija* je predata na vreme.	*Документация* сдана вовремя.
potpis	Nedostaje *potpis* na drugoj strani.	Не хватает *подписи* на второй странице.
pečat	Bez *pečata* dokument ne važi.	Без *печати* документ недействителен.
važiti	Karta *važi* do kraja meseca.	Билет *действителен* до конца месяца.
prekršiti	*Prekršio* je pravila igre.	Он *нарушил* правила игры.
kazniti	Sud ga je *kaznio* novčano.	Суд *наказал* его штрафом.
okolina	*Okolina* trpi zbog fabrike.	*Окружающая среда* страдает из-за завода.
zagađenje	*Zagađenje* vazduha raste zimi.	*Загрязнение* воздуха растёт зимой.
otpad	*Otpad* se odvaja po vrstama.	*Отходы* сортируются по видам.
klima	*Klima* se menja brže nego ranije.	*Климат* меняется быстрее, чем раньше.
vrsta	Ova *vrsta* ptica je zaštićena.	Этот *вид* птиц охраняется.
biljka	Ova *biljka* raste samo na jugu.	Это *растение* растёт только на юге.
seme	*Seme* se seje u proleće.	*Семена* сеют весной.
koren	*Koren* drveta je oštetio put.	*Корень* дерева повредил дорогу.
obala	Šetali smo *obalom* reke.	Мы гуляли по *берегу* реки.
dolina	Selo leži u uskoj *dolini*.	Село лежит в узкой *долине*.
polje	*Polje* se prostire do horizonta.	*Поле* тянется до горизонта.
potok	Kroz selo protiče mali *potok*.	Через село течёт маленький *ручей*.
zaštita	*Zaštita* prirode je obaveza svih.	*Охрана* природы — обязанность всех.
očuvati	Moramo *očuvati* stare šume.	Мы должны *сберечь* старые леса.
uništiti	Požar je *uništio* pola šume.	Пожар *уничтожил* половину леса.
lečenje	*Lečenje* traje šest nedelja.	*Лечение* длится шесть недель.
dijagnoza	*Dijagnoza* je postavljena brzo.	*Диагноз* поставили быстро.
simptom	Prvi *simptom* je bio umor.	Первым *симптомом* была усталость.
operacija	*Operacija* je prošla bez komplikacija.	*Операция* прошла без осложнений.
terapija	*Terapija* daje prve rezultate.	*Терапия* даёт первые результаты.
pacijent	*Pacijent* se oseća bolje.	*Пациент* чувствует себя лучше.
zaraza	*Zaraza* se širi kapljičnim putem.	*Инфекция* передаётся воздушно-капельным путём.
vakcina	*Vakcina* se daje u dve doze.	*Вакцина* вводится в две дозы.
ishrana	Zdrava *ishrana* je pola posla.	Здоровое *питание* — половина дела.
san	Dobar *san* je važan za oporavak.	Хороший *сон* важен для восстановления.
lečiti	*Leče* ga već dva meseca.	Его *лечат* уже два месяца.
izlečiti	Bolest se može *izlečiti* na vreme.	Болезнь можно *вылечить* вовремя.
sprečiti	Redovan pregled može *sprečiti* problem.	Регулярный осмотр может *предотвратить* проблему.
omogućiti	Nova pravila *omogućavaju* rad od kuće.	Новые правила *позволяют* работать из дома.
obezbediti	Grad je *obezbedio* prevoz za decu.	Город *обеспечил* транспорт для детей.
zahtevati	Posao *zahteva* mnogo strpljenja.	Работа *требует* большого терпения.
ostvariti	*Ostvario* je svoj plan do kraja godine.	Он *осуществил* свой план до конца года.
postići	*Postigli* smo dogovor posle duge rasprave.	Мы *достигли* соглашения после долгого спора.
izbeći	Uspeli smo da *izbegnemo* gužvu.	Нам удалось *избежать* пробки.
prihvatiti	*Prihvatili* su naše uslove.	Они *приняли* наши условия.
odbiti	*Odbio* je ponudu bez objašnjenja.	Он *отклонил* предложение без объяснений.
uporediti	*Uporedi* ove dve verzije.	*Сравни* эти две версии.
razlikovati	Teško je *razlikovati* original od kopije.	Трудно *отличить* оригинал от копии.
zavisiti	Sve *zavisi* od vremena.	Всё *зависит* от погоды.
uključivati	Cena *uključuje* doručak.	Цена *включает* завтрак.
odnositi	Ovo pravilo se *odnosi* samo na studente.	Это правило *относится* только к студентам.
predstavljati	Ova odluka *predstavlja* veliki korak.	Это решение *представляет собой* большой шаг.
sadržati	Tekst *sadrži* nekoliko grešaka.	Текст *содержит* несколько ошибок.
povezati	Nova linija *povezuje* dva kraja grada.	Новая линия *связывает* два конца города.
razdvojiti	*Razdvojili* su decu u dve grupe.	Детей *разделили* на две группы.
nadmašiti	Rezultat je *nadmašio* očekivanja.	Результат *превзошёл* ожидания.
značajan	To je *značajan* korak napred.	Это *значительный* шаг вперёд.
osnovni	*Osnovni* problem je nedostatak vremena.	*Основная* проблема — нехватка времени.
dodatni	Za to treba *dodatni* trud.	Для этого нужны *дополнительные* усилия.
stalan	Ima *stalan* posao u banci.	У него *постоянная* работа в банке.
privremen	Ovo je samo *privremeno* rešenje.	Это лишь *временное* решение.
jedinstven	Ovaj primerak je *jedinstven*.	Этот экземпляр *уникален*.
uobičajen	To je *uobičajen* postupak.	Это *привычная* процедура.
neophodan	Za prijavu je *neophodan* pasoš.	Для заявления *необходим* паспорт.
dovoljan	Jedan sat je *dovoljan* za pripremu.	Одного часа *достаточно* для подготовки.
pouzdan	Ovo je *pouzdan* izvor podataka.	Это *надёжный* источник данных.
složen	Zadatak je *složeniji* nego što izgleda.	Задача *сложнее*, чем кажется.
jednostavan	Rešenje je bilo iznenađujuće *jednostavno*.	Решение оказалось на удивление *простым*.
očigledan	Odgovor je bio *očigledan*.	Ответ был *очевиден*.
nejasan	Uputstvo je *nejasno* napisano.	Инструкция написана *неясно*.
koristan	Ovaj savet je vrlo *koristan*.	Этот совет очень *полезен*.
štetan	Duvan je *štetan* za zdravlje.	Табак *вреден* для здоровья.
