lemma	example	translation
baterija	*Baterija* traje ceo dan.	*Батареи* хватает на весь день.
uređaj	Ovaj *uređaj* meri temperaturu.	Это *устройство* измеряет температуру.
uključiti	*Uključi* svetlo, molim te.	*Включи* свет, пожалуйста.
isključiti	*Isključi* telefon tokom časa.	*Выключи* телефон во время урока.
poslati	*Poslao* sam ti pismo juče.	Я *отправил* тебе письмо вчера.
preuzeti	*Preuzmi* aplikaciju sa sajta.	*Скачай* приложение с сайта.
sačuvati	*Sačuvaj* dokument pre izlaska.	*Сохрани* документ перед выходом.
fakultet	Upisao je *fakultet* u Beogradu.	Он поступил в *вуз* в Белграде.
student	Svaki *student* ima svoju karticu.	У каждого *студента* своя карточка.
predavanje	*Predavanje* traje devedeset minuta.	*Лекция* длится девяносто минут.
vežba	Uradi ovu *vežbu* do sutra.	Сделай это *упражнение* к завтрашнему дню.
greška	Napravio sam malu *grešku*.	Я сделал маленькую *ошибку*.
pravilo	Ovo *pravilo* ima mnogo izuzetaka.	У этого *правила* много исключений.
primer	Daj mi jedan *primer*.	Приведи мне один *пример*.
rečnik	Reč sam našao u *rečniku*.	Слово я нашёл в *словаре*.
prevod	*Prevod* nije sasvim tačan.	*Перевод* не совсем точный.
izgovor	*Izgovor* mu je odličan.	*Произношение* у него отличное.
slovo	Prvo *slovo* je veliko.	Первая *буква* заглавная.
rečenica	Ova *rečenica* je predugačka.	Это *предложение* слишком длинное.
znanje	*Znanje* jezika mu je pomoglo.	*Знание* языка ему помогло.
naučiti	*Naučio* sam deset novih reči.	Я *выучил* десять новых слов.
ponoviti	*Ponovi* to još jednom.	*Повтори* это ещё раз.
objasniti	Možete li da *objasnite* pravilo?	Можете *объяснить* правило?
razumeti	Ne *razumem* ovu rečenicu.	Я не *понимаю* это предложение.
prevesti	*Prevedi* ovaj tekst na srpski.	*Переведи* этот текст на сербский.
zapamtiti	*Zapamtio* sam tvoj broj napamet.	Я *запомнил* твой номер наизусть.
zaboraviti	*Zaboravio* sam kako se to kaže.	Я *забыл*, как это говорится.
nameštaj	Kupili smo nov *nameštaj* za dnevnu sobu.	Мы купили новую *мебель* в гостиную.
posuđe	*Posuđe* stoji u sudoperi.	*Посуда* стоит в раковине.
peškir	Uzmi čist *peškir* iz ormana.	Возьми чистое *полотенце* из шкафа.
sapun	*Sapun* miriše na lavandu.	*Мыло* пахнет лавандой.
četkica	*Četkica* za zube je u kupatilu.	*Щётка* для зубов в ванной.
frižider	Mleko je u *frižideru*.	Молоко в *холодильнике*.
šporet	Lonac je ostao na *šporetu*.	Кастрюля осталась на *плите*.
mašina	*Mašina* pere veš dva sata.	*Машина* стирает бельё два часа.
smeće	Iznesi *smeće*, molim te.	Вынеси *мусор*, пожалуйста.
red	U sobi je najzad *red*.	В комнате наконец *порядок*.
čistiti	Subotom *čistim* ceo stan.	По субботам я *убираю* всю квартиру.
prati	*Perem* sudove posle večere.	Я *мою* посуду после ужина.
popraviti	Majstor je *popravio* frižider.	Мастер *починил* холодильник.
pospremiti	*Pospremi* sobu pre gostiju.	*Прибери* комнату перед гостями.
baciti	*Bacio* sam stare novine.	Я *выбросил* старые газеты.
dolaziti	Autobus *dolazi* svakih deset minuta.	Автобус *приходит* каждые десять минут.
odlaziti	Gosti *odlaze* posle ponoći.	Гости *уходят* после полуночи.
pokazati	*Pokaži* mi put do stanice.	*Покажи* мне дорогу до вокзала.
poznavati	*Poznajem* ga još iz škole.	Я *знаю* его ещё со школы.
upoznati	*Upoznali* smo se prošle godine.	Мы *познакомились* в прошлом году.
sresti	*Sreo* sam ga na trgu.	Я *встретил* его на площади.
pozvati	*Pozvali* su nas na večeru.	Нас *пригласили* на ужин.
javiti	*Javi* mi kad stigneš.	*Сообщи* мне, когда приедешь.
obećati	*Obećao* je da će doći.	Он *обещал*, что придёт.
verovati	Ne *verujem* u tu priču.	Я не *верю* в эту историю.
predložiti	*Predložio* je da idemo peške.	Он *предложил* пойти пешком.
promeniti	*Promenili* smo plan u poslednji čas.	Мы *изменили* план в последний момент.
nastaviti	*Nastavili* smo posao posle pauze.	Мы *продолжили* работу после перерыва.
prestati	Kiša je najzad *prestala*.	Дождь наконец *перестал*.
pokušati	*Pokušaj* još jednom.	*Попробуй* ещё раз.
uspeti	*Uspeo* sam da završim na vreme.	Мне *удалось* закончить вовремя.
desiti	Šta se *desilo* sinoć?	Что *случилось* вчера вечером?
izgledati	*Izgledaš* umorno.	Ты *выглядишь* уставшим.
trebati	*Treba* mi tvoja pomoć.	Мне *нужна* твоя помощь.
dozvoliti	Roditelji su mu *dozvolili* da ide.	Родители *разрешили* ему пойти.
zabraniti	Lekar mu je *zabranio* kafu.	Врач *запретил* ему кофе.
brinuti	Ne *brini*, sve će biti u redu.	Не *беспокойся*, всё будет хорошо.
čuvati	*Čuvam* to pismo već godinama.	Я *храню* это письмо уже много лет.
deliti	*Delimo* stan sa još dvoje ljudi.	Мы *делим* квартиру ещё с двумя людьми.
moguć	To je jedini *moguć* odgovor.	Это единственный *возможный* ответ.
nemoguć	Zadatak je bio gotovo *nemoguć*.	Задание было почти *невыполнимым*.
poznat	On je *poznat* pisac.	Он *известный* писатель.
nepoznat	Zvao me je *nepoznat* broj.	Мне звонил *неизвестный* номер.
važan	Ovo je *važan* razgovor.	Это *важный* разговор.
potreban	Za prijavu je *potreban* pasoš.	Для заявления *нужен* паспорт.
spreman	Ručak je *spreman*.	Обед *готов*.
siguran	*Siguran* sam da sam zaključao vrata.	Я *уверен*, что запер дверь.
opasan	Ovaj put je *opasan* zimi.	Эта дорога *опасна* зимой.
tačan	Njegov odgovor je bio *tačan*.	Его ответ был *верным*.
pogrešan	Uzeo sam *pogrešan* ključ.	Я взял *не тот* ключ.
običan	Bio je to *običan* radni dan.	Это был *обычный* рабочий день.
poseban	Ovo je *poseban* slučaj.	Это *особый* случай.
sličan	Vaš problem je *sličan* mom.	Ваша проблема *похожа* на мою.
različit	Imamo potpuno *različite* navike.	У нас совершенно *разные* привычки.
isti	Živimo u *istoj* ulici.	Мы живём на *одной и той же* улице.
zauzet	Danas sam ceo dan *zauzet*.	Сегодня я весь день *занят*.
tesan	Ove cipele su mi *tesne*.	Эти туфли мне *тесны*.
širok	Ulica je ovde vrlo *široka*.	Улица здесь очень *широкая*.
uzak	Prolaz je previše *uzak*.	Проход слишком *узкий*.
uvek	*Uvek* dolazi na vreme.	Он *всегда* приходит вовремя.
nikad	*Nikad* nisam bio u Nišu.	Я *никогда* не был в Нише.
ponekad	*Ponekad* radim od kuće.	*Иногда* я работаю из дома.
često	*Često* idemo u pozorište.	Мы *часто* ходим в театр.
retko	*Retko* gledam televiziju.	Я *редко* смотрю телевизор.
obično	*Obično* ustajem u sedam.	*Обычно* я встаю в семь.
odmah	Dođi *odmah*, važno je.	Приходи *сразу*, это важно.
kasnije	O tome ćemo *kasnije*.	Об этом *позже*.
ranije	Došao je sat *ranije*.	Он пришёл на час *раньше*.
ponovo	Moraćemo *ponovo* da počnemo.	Нам придётся начать *заново*.
već	Voz je *već* otišao.	Поезд *уже* ушёл.
tek	*Tek* sam stigao kući.	Я *только что* пришёл домой.
skoro	Posao je *skoro* gotov.	Работа *почти* готова.
možda	*Možda* ću doći sutra.	*Может быть*, я приду завтра.
sigurno	*Sigurno* je zaboravio.	Он *наверняка* забыл.
zajedno	Ručali smo *zajedno*.	Мы обедали *вместе*.
sam	Živi *sam* već pet godina.	Он живёт *один* уже пять лет.
napolju	*Napolju* je hladno.	*На улице* холодно.
unutra	Sačekaj me *unutra*.	Подожди меня *внутри*.
blizu	Stanica je sasvim *blizu*.	Остановка совсем *близко*.
daleko	Selo je *daleko* od grada.	Село *далеко* от города.
gore	Kutija stoji *gore*, na ormanu.	Коробка стоит *наверху*, на шкафу.
dole	Sačekaj me *dole*, ispred zgrade.	Подожди меня *внизу*, перед домом.
zato	Kasnio je, *zato* smo krenuli sami.	Он опаздывал, *поэтому* мы пошли одни.
jer	Ostao je kod kuće *jer* je bolestan.	Он остался дома, *потому что* болен.
iako	Došao je *iako* je bio umoran.	Он пришёл, *хотя* был уставшим.
ako	*Ako* pada kiša, ostajemo kod kuće.	*Если* пойдёт дождь, останемся дома.
dok	Sačekaj *dok* se ne vratim.	Подожди, *пока* я не вернусь.
pošto	*Pošto* nemamo karte, gledaćemo kod kuće.	*Поскольку* у нас нет билетов, посмотрим дома.
nego	Bolje danas *nego* sutra.	Лучше сегодня, *чем* завтра.
ipak	Bilo je teško, ali smo *ipak* uspeli.	Было трудно, но мы *всё же* справились.
međutim	Planirali smo izlet, *međutim* pada kiša.	Мы планировали поездку, *однако* идёт дождь.
takođe	I ja *takođe* idem sutra.	Я *тоже* иду завтра.
osim	Svi su došli *osim* Marka.	Все пришли, *кроме* Марко.
umesto	Popio je čaj *umesto* kafe.	Он выпил чай *вместо* кофе.
prema	Idemo *prema* centru grada.	Мы идём *к* центру города.
zbog	Kasnimo *zbog* gužve u saobraćaju.	Мы опаздываем *из-за* пробок.
tokom	*Tokom* leta radim skraćeno.	*В течение* лета я работаю неполный день.
protiv	Glasao je *protiv* tog predloga.	Он проголосовал *против* этого предложения.
između	Kafić je *između* pošte i banke.	Кафе *между* почтой и банком.
pored	Sedi *pored* prozora.	Он сидит *у* окна.
praznik	Sutra je državni *praznik*.	Завтра государственный *праздник*.
rođendan	*Rođendan* slavim u maju.	*День рождения* я отмечаю в мае.
slava	Porodica danas slavi *slavu*.	Семья сегодня отмечает *славу*.
Božić	*Božić* se slavi sedmog januara.	*Рождество* празднуют седьмого января.
Uskrs	Za *Uskrs* farbamo jaja.	На *Пасху* мы красим яйца.
svadba	*Svadba* je bila u selu.	*Свадьба* была в селе.
gost	Prvi *gost* je stigao ranije.	Первый *гость* пришёл раньше.
čestitka	Poslala mu je *čestitku* poštom.	Она отправила ему *поздравление* по почте.
tradicija	To je stara porodična *tradicija*.	Это старая семейная *традиция*.
običaj	U tom kraju je takav *običaj*.	В том краю такой *обычай*.
slaviti	*Slavimo* rođendan u restoranu.	Мы *празднуем* день рождения в ресторане.
čestitati	Svi su mu *čestitali* uspeh.	Все *поздравили* его с успехом.
ugostiti	*Ugostili* su nas kao rođake.	Они *приняли* нас как родных.
