lemma	example	translation
zamerka	Imam samo jednu *zamerku* na tekst.	У меня лишь одна *претензия* к тексту.
nagovestiti	*Nagovestio* je da odlazi iz firme.	Он *намекнул*, что уходит из фирмы.
prekoriti	Nastavnik ga je blago *prekorio*.	Учитель мягко его *упрекнул*.
pohvaliti	Direktor je *pohvalio* ceo tim.	Директор *похвалил* всю команду.
ubediti	Nisu me *ubedili* ti argumenti.	Меня не *убедили* эти доводы.
razuveriti	Pokušali su da ga *razuvere*, ali uzalud.	Его пытались *разубедить*, но напрасно.
institucija	Ova *institucija* postoji od hiljadu devetsto pedesete.	Это *учреждение* существует с тысяча девятьсот пятидесятого.
uprava	*Uprava* je donela novu odluku.	*Руководство* приняло новое решение.
nadležnost	To nije u *nadležnosti* opštine.	Это не в *компетенции* общины.
propis	Novi *propis* stupa na snagu u julu.	Новое *предписание* вступает в силу в июле.
postupak	*Postupak* prijave je pojednostavljen.	*Процедура* подачи заявления упрощена.
nadzor	Radovi se izvode pod stalnim *nadzorom*.	Работы ведутся под постоянным *надзором*.
korupcija	Borba protiv *korupcije* traje godinama.	Борьба с *коррупцией* длится годами.
nasilje	*Nasilje* nije rešenje ni za šta.	*Насилие* не решение ни для чего.
bezbednost	*Bezbednost* dece je na prvom mestu.	*Безопасность* детей на первом месте.
solidarnost	Ljudi su pokazali veliku *solidarnost*.	Люди проявили большую *солидарность*.
dobrovoljan	Učešće je potpuno *dobrovoljno*.	Участие полностью *добровольное*.
obavezan	Ovaj predmet je *obavezan* za sve.	Этот предмет *обязателен* для всех.
zvaničan	Još nema *zvanične* potvrde.	*Официального* подтверждения пока нет.
nezavisan	Izveštaj je pripremila *nezavisna* komisija.	Отчёт подготовила *независимая* комиссия.
konkurencija	*Konkurencija* na tržištu je oštra.	*Конкуренция* на рынке жёсткая.
ponuda	Njihova *ponuda* je bila najpovoljnija.	Их *предложение* было самым выгодным.
potražnja	*Potražnja* raste pred praznike.	*Спрос* растёт перед праздниками.
investitor	*Investitor* je odustao u poslednji čas.	*Инвестор* отказался в последний момент.
dobavljač	*Dobavljač* kasni sa isporukom.	*Поставщик* задерживает поставку.
imovina	Sva *imovina* je popisana.	Всё *имущество* описано.
vlasništvo	Zgrada je u državnom *vlasništvu*.	Здание в государственной *собственности*.
poslovanje	*Poslovanje* firme je stabilno.	*Деятельность* фирмы стабильна.
tržišni	*Tržišni* uslovi su se promenili.	*Рыночные* условия изменились.
isplativ	Ovaj posao više nije *isplativ*.	Это дело больше не *выгодно*.
skupoća	*Skupoća* je pogodila sve porodice.	*Дороговизна* ударила по всем семьям.
inflacija	*Inflacija* je usporila u drugom kvartalu.	*Инфляция* замедлилась во втором квартале.
hipoteza	*Hipoteza* još nije proverena.	*Гипотеза* ещё не проверена.
analiza	*Analiza* je pokazala jasnu vezu.	*Анализ* показал ясную связь.
osvrt	Napisao je kratak *osvrt* na knjigu.	Он написал короткий *отзыв* на книгу.
uzorak	*Uzorak* je bio premali za zaključke.	*Выборка* была слишком мала для выводов.
pokazatelj	Ovaj *pokazatelj* raste treću godinu.	Этот *показатель* растёт третий год.
tumač	Na sastanku je bio i *tumač*.	На встрече был и *переводчик*.
napredak	*Napredak* je vidljiv posle mesec dana.	*Прогресс* заметен через месяц.
primena	*Primena* pravila počinje odmah.	*Применение* правила начинается сразу.
tehnologija	Nova *tehnologija* skraćuje posao upola.	Новая *технология* сокращает работу вдвое.
izum	Taj *izum* je promenio industriju.	Это *изобретение* изменило промышленность.
primeniti	Pravilo ćemo *primeniti* od januara.	Правило мы *применим* с января.
razviti	Firma je *razvila* sopstveni program.	Фирма *разработала* собственную программу.
utvrditi	Komisija je *utvrdila* uzrok kvara.	Комиссия *установила* причину поломки.
obraditi	Podatke treba *obraditi* do petka.	Данные надо *обработать* до пятницы.
stvaralaštvo	Njegovo *stvaralaštvo* obuhvata i prozu i poeziju.	Его *творчество* охватывает и прозу, и поэзию.
delo	To *delo* je prevedeno na deset jezika.	Это *произведение* переведено на десять языков.
autor	*Autor* je knjigu pisao pet godina.	*Автор* писал книгу пять лет.
stil	Njegov *stil* se prepoznaje odmah.	Его *стиль* узнаётся сразу.
žanr	Ovaj *žanr* je danas vrlo popularan.	Этот *жанр* сегодня очень популярен.
metafora	Cela pesma počiva na jednoj *metafori*.	Всё стихотворение держится на одной *метафоре*.
simbol	Golub je *simbol* mira.	Голубь — *символ* мира.
epoha	Ta *epoha* je ostavila dubok trag.	Эта *эпоха* оставила глубокий след.
uticajan	On je *uticajan* čovek u toj oblasti.	Он *влиятельный* человек в этой области.
savremen	Ovo je *savremen* pristup problemu.	Это *современный* подход к проблеме.
tradicionalan	Priprema se po *tradicionalnom* receptu.	Готовится по *традиционному* рецепту.
prevodilac	*Prevodilac* je sačuvao ritam originala.	*Переводчик* сохранил ритм оригинала.
uzbuđenje	Pred ispit ga je obuzelo *uzbuđenje*.	Перед экзаменом его охватило *волнение*.
razočaranje	Rezultat je bio pravo *razočaranje*.	Результат стал настоящим *разочарованием*.
olakšanje	Vest je svima donela *olakšanje*.	Новость принесла всем *облегчение*.
zavist	*Zavist* kvari i najbolje prijateljstvo.	*Зависть* портит и лучшую дружбу.
stid	Osetio je *stid* zbog svojih reči.	Он почувствовал *стыд* за свои слова.
ponos	Govorio je o ćerki sa *ponosom*.	Он говорил о дочери с *гордостью*.
nemir	U njegovom glasu se osećao *nemir*.	В его голосе чувствовалось *беспокойство*.
sažaljenje	Ne tražim *sažaljenje*, nego pomoć.	Я прошу не *жалости*, а помощи.
oduševljenje	Publika je reagovala sa *oduševljenjem*.	Публика отреагировала с *восторгом*.
ravnodušnost	Najviše boli *ravnodušnost*.	Больнее всего *равнодушие*.
razočarati	*Razočarao* je one koji su mu verovali.	Он *разочаровал* тех, кто ему верил.
oduševiti	Predstava je *oduševila* i kritiku.	Спектакль *привёл в восторг* и критиков.
uznemiriti	Vest ih je ozbiljno *uznemirila*.	Новость серьёзно их *встревожила*.
podrazumevati	Ćutanje ne *podrazumeva* slaganje.	Молчание не *подразумевает* согласия.
uslovljavati	Klima *uslovljava* izbor useva.	Климат *обусловливает* выбор культур.
proizlaziti	Iz toga *proizlazi* jasan zaključak.	Из этого *вытекает* ясный вывод.
nadoknaditi	Propušteno vreme teško je *nadoknaditi*.	Упущенное время трудно *наверстать*.
prilagoditi	Program smo *prilagodili* početnicima.	Программу мы *приспособили* для начинающих.
usmeriti	Sredstva su *usmerena* na obrazovanje.	Средства *направлены* на образование.
ograničiti	Pristup je *ograničen* na zaposlene.	Доступ *ограничен* сотрудниками.
proširiti	*Proširili* su put na četiri trake.	Дорогу *расширили* до четырёх полос.
nametnuti	Niko im nije *nametnuo* to rešenje.	Никто не *навязывал* им это решение.
zanemariti	*Zanemarili* su najvažniji detalj.	Они *пренебрегли* самой важной деталью.
istaknuti	Želim da *istaknem* jednu činjenicu.	Я хочу *выделить* один факт.
suočiti	*Suočili* su ga sa dokazima.	Его *поставили лицом к лицу* с доказательствами.
suprotstaviti	*Suprotstavio* je svoje argumente njihovim.	Он *противопоставил* свои доводы их доводам.
oslanjati	*Oslanjamo* se na proverene podatke.	Мы *опираемся* на проверенные данные.
obuhvatiti	Istraživanje je *obuhvatilo* hiljadu ljudi.	Исследование *охватило* тысячу человек.
preduzeti	Moramo *preduzeti* nešto odmah.	Мы должны *предпринять* что-то немедленно.
suštinski	To je *suštinski* drugačije pitanje.	Это *существенно* другой вопрос.
prividan	Njegov mir je bio samo *prividan*.	Его спокойствие было лишь *кажущимся*.
uslovan	Dobio je *uslovnu* kaznu.	Он получил *условное* наказание.
dosledan	Bio je *dosledan* u svojim stavovima.	Он был *последователен* в своих взглядах.
proizvoljan	Izbor primera nije bio *proizvoljan*.	Выбор примеров не был *произвольным*.
neizbežan	Sukob je bio *neizbežan*.	Конфликт был *неизбежен*.
sporan	Ostao je jedan *sporan* detalj.	Остался один *спорный* момент.
temeljan	Potreban je *temeljan* pregled dokumenata.	Нужна *основательная* проверка документов.
površan	Njegovo znanje je *površno*.	Его знание *поверхностное*.
prikladan	To nije *prikladan* trenutak za šalu.	Это не *подходящий* момент для шутки.
nedovoljan	Dokaz je bio *nedovoljan* za presudu.	Доказательства было *недостаточно* для приговора.
preteran	Njegova reakcija je bila *preterana*.	Его реакция была *чрезмерной*.
umeren	Zauzeo je *umeren* stav.	Он занял *умеренную* позицию.
odlučan	Bio je *odlučan* da završi posao.	Он был *решителен* закончить работу.
oprezan	Budi *oprezan* na klizavom putu.	Будь *осторожен* на скользкой дороге.
naime	Nije došao, *naime* razboleo se.	Он не пришёл, *а именно* — заболел.
uostalom	*Uostalom*, to i nije bilo važno.	*Впрочем*, это и не было важно.
štaviše	Slažem se, *štaviše* podržavam u potpunosti.	Согласен, *более того* — полностью поддерживаю.
nasuprot	*Nasuprot* očekivanjima, prošlo je dobro.	*Вопреки* ожиданиям, всё прошло хорошо.
stoga	Nedostajali su podaci, *stoga* smo odložili odluku.	Данных не хватало, *поэтому* мы отложили решение.
utoliko	Zadatak je *utoliko* teži što nemamo vremena.	Задача *тем* труднее, что у нас нет времени.
svakako	*Svakako* ću doći na sastanak.	Я *непременно* приду на встречу.
navodno	*Navodno* je već potpisao ugovor.	*Якобы* он уже подписал договор.
uglavnom	*Uglavnom* radim od kuće.	*В основном* я работаю из дома.
delimično	Slažem se samo *delimično*.	Я согласен лишь *частично*.
postepeno	Situacija se *postepeno* popravlja.	Ситуация *постепенно* улучшается.
istovremeno	Ne mogu da radim dve stvari *istovremeno*.	Я не могу делать два дела *одновременно*.
naprotiv	Nije mu smetalo, *naprotiv*, dopalo mu se.	Ему не мешало, *наоборот*, понравилось.
otprilike	Do stanice ima *otprilike* deset minuta.	До остановки *примерно* десять минут.
