level	title	summary
B2	Сложные союзы и союзные слова	Употребление союзов будући да, будући да је, будући да су, с обзиром на то да, пре него што, након што.
B2	Определенный и неопределенный вид прилагательных	Разница между добар човек и добри човек и их склонение.
B2	Словообразование существительных	Суффиксы професий, абстрактных понятий, уменьшительно-ласкательные и увеличительные формы.
B2	Словообразование глаголов	Приставочный способ изменения значения глагола и смена вида.
B2	Модальные частицы и экспрессивы	Нюансы значений частиц па, бре, ваљда, бар, чак, тек, дакле.
B2	Сложносочиненные предложения	Соединительные, противоположные, разделительные, градационные союзы (не само... већ и).
B2	Сложноподчиненное предложение	Целевые, причинные, уступительные и следственные придаточные предложения.
B2	Плеоназмы и эллипсисы	Стилистические фигуры и допустимые опускания элементов речевой структуры.
B2	Глаголы движения с приставками	Разница значений приставок у-, из-, про-, до-, од-, при-, пре- с глаголами движения.
B2	Согласование сказуемого с составным подлежащим	Правила согласования, когда подлежащее выражено собирательными числительными или списками разных родов.
B2	Особенности использования инфинитива vs. да + Present	Региональные и стилистические различия (сербский норматив предпочитает да + Present, но инфинитив используется в определенных синтаксических конструкциях).
C1	Синтаксис деепричастных оборотов	Правила предотвращения синтаксической несогласованности подлежащего и деепричастия (абсолютные конструкции).
C1	Семантика и стилистика падежных синонимов	Взаимозаменяемость предложно-падежных конструкций (ради + Genitive vs. зато што).
C1	Историческая грамматика в современном языке	Остаточные явления двойственного числа (две руке), реликтовые формы склонений.
C1	Синтаксический статус энклитик в сложных академических предложениях	Порядок энклитик при наличии глубоких вводных и придаточных конструкций.
C1	Сложные явления акцентологии	Четыре типа сербских ударений, правила переноса ударения на предлог (у град -> у́град).
C1	Стилистическое использование Аориста и Имперфекта	Экспрессивная функция в современной художественной прозе и публицистике.
C1	Абстрактная и метафорическая падежная семантика	Нестандартное использование локатива, творительного и родительного падежей в фразеологизмах.
C1	Синтаксис инфинитивных и безличных оборотов в юридическом/официальном стиле	Специфика Службеног гласника и документов.
C2	Заимствования и их грамматическая адаптация	Интеграция англицизмов и интернационализмов в сербскую морфологию и систему спряжения/склонения.
C2	Пуризм и языковая норма (Стандардизација)	Различия между литературной нормой (стандардни српски) и разговорной / диалектной речью.
C2	Вариантивность (Екавица vs. Ијекавица)	Систематические грамматические и фонетические правила перевода текста из екавицы в ијекавицу (млеко/млијеко, дете/дијете/дјеце).
C2	Сложное согласование по смыслу (Constructio ad sensum)	Грамматический анализ синтаксического согласования вопреки формальной морфологии.
C2	Синтаксис уступительных и кондициональных конструкций высшего порядка	Использование архаичных союзов (макар, премда, акопаче).
C2	Пунктуация в сложносочиненных и сложноподчиненных предложениях	Особенности правил постановки запятых в сербском языке (отличия от русской пунктуации).
C2	Фразеосинтаксис	Устойчивые синтаксические схемы разговорной речи, не поддающиеся стандартному грамматическому разбору.
