lemma	example	translation
državnost	*Državnost* se gradila vekovima.	*Государственность* строилась веками.
suverenitet	*Suverenitet* zemlje zajemčen je ustavom.	*Суверенитет* страны гарантирован конституцией.
ustav	*Ustav* je izmenjen dva puta.	*Конституция* менялась дважды.
nadležan	Za to je *nadležan* drugi organ.	За это *отвечает* другой орган.
presedan	Ova presuda predstavlja *presedan*.	Этот приговор представляет собой *прецедент*.
arbitraža	Spor je rešen *arbitražom*.	Спор решён *арбитражем*.
posredovanje	*Posredovanje* treće strane je pomoglo.	*Посредничество* третьей стороны помогло.
raslojavanje	*Raslojavanje* društva postaje vidljivo.	*Расслоение* общества становится заметным.
iseljavanje	*Iseljavanje* mladih je ozbiljan problem.	*Эмиграция* молодёжи — серьёзная проблема.
integracija	*Integracija* doseljenika ide sporo.	*Интеграция* переселенцев идёт медленно.
pripadnost	Oseća snažnu *pripadnost* rodnom kraju.	Он чувствует сильную *принадлежность* к родному краю.
identitet	Jezik je važan deo *identiteta*.	Язык — важная часть *идентичности*.
razdoblje	To *razdoblje* je slabo istraženo.	Этот *период* мало изучен.
vekovni	Ovo je *vekovni* običaj tog kraja.	Это *вековой* обычай того края.
nasleđivanje	*Nasleđivanje* imovine uređeno je zakonom.	*Наследование* имущества урегулировано законом.
svedočanstvo	Pismo je dragoceno *svedočanstvo* o tom vremenu.	Письмо — ценное *свидетельство* о том времени.
letopis	*Letopis* pominje taj događaj u jednoj rečenici.	*Летопись* упоминает то событие в одной фразе.
predanje	Narodno *predanje* pripisuje mu čuda.	Народное *предание* приписывает ему чудеса.
ustanak	*Ustanak* je izbio u proleće.	*Восстание* вспыхнуло весной.
osvajanje	*Osvajanje* grada trajalo je mesecima.	*Завоевание* города длилось месяцами.
propast	*Propast* carstva bila je postepena.	*Гибель* империи была постепенной.
preporod	Nastupio je pravi kulturni *preporod*.	Наступило настоящее культурное *возрождение*.
zaostavština	Njegova *zaostavština* čuva se u arhivu.	Его *наследие* хранится в архиве.
metodologija	*Metodologija* rada opisana je u uvodu.	*Методология* работы описана во введении.
empirijski	Zaključak počiva na *empirijskim* podacima.	Вывод опирается на *эмпирические* данные.
teorijski	*Teorijski* okvir je jasno postavljen.	*Теоретическая* рамка задана ясно.
verodostojan	Izvor je proveren i *verodostojan*.	Источник проверен и *достоверен*.
opovrgnuti	Nova merenja su *opovrgla* staru tvrdnju.	Новые измерения *опровергли* старое утверждение.
potkrepiti	Tvrdnju treba *potkrepiti* dokazima.	Утверждение надо *подкрепить* доказательствами.
izvesti	Iz tih podataka možemo *izvesti* pravilo.	Из этих данных можно *вывести* правило.
sistematizovati	Građu je trebalo najpre *sistematizovati*.	Материал надо было сначала *систематизировать*.
uopštiti	Opasno je *uopštiti* na osnovu jednog slučaja.	Опасно *обобщать* на основании одного случая.
razgraničiti	Treba jasno *razgraničiti* ta dva pojma.	Надо чётко *разграничить* эти два понятия.
iziskivati	Posao *iziskuje* veliku pažnju.	Работа *требует* большого внимания.
predodrediti	Odluka je *predodredila* dalji tok događaja.	Решение *предопределило* дальнейший ход событий.
odražavati	Statistika *odražava* stvarno stanje.	Статистика *отражает* реальное положение.
otelotvoriti	Ideja se *otelotvorila* u ovom projektu.	Идея *воплотилась* в этом проекте.
umanjiti	Ne treba *umanjiti* njegov doprinos.	Не следует *преуменьшать* его вклад.
preinačiti	Sud je *preinačio* prvostepenu presudu.	Суд *изменил* приговор первой инстанции.
obesmisliti	Kašnjenje je *obesmislilo* ceo plan.	Опоздание *обессмыслило* весь план.
iscrpsti	Rasprava je *iscrpla* sve argumente.	Спор *исчерпал* все доводы.
proisteći	Iz tog dogovora je *proistekla* saradnja.	Из этой договорённости *проистекло* сотрудничество.
nametati	Ne želim nikome da *namećem* svoje mišljenje.	Я никому не хочу *навязывать* своё мнение.
posvedočiti	Više svedoka je *posvedočilo* isto.	Несколько свидетелей *засвидетельствовали* одно и то же.
prevazići	Rezultat je *prevazišao* sva očekivanja.	Результат *превзошёл* все ожидания.
nedvosmislen	Odgovor je bio kratak i *nedvosmislen*.	Ответ был кратким и *недвусмысленным*.
neosporan	Njegov doprinos je *neosporan*.	Его вклад *бесспорен*.
posredan	Reč je o *posrednom* dokazu.	Речь идёт о *косвенном* доказательстве.
neposredan	Postoji *neposredna* veza između ta dva događaja.	Между этими событиями есть *непосредственная* связь.
svojstven	Taj oprez mu je oduvek bio *svojstven*.	Эта осторожность всегда была ему *свойственна*.
dvojak	Zaključak ima *dvojak* smisao.	У вывода *двоякий* смысл.
prevashodan	To je *prevashodan* zadatak ove godine.	Это *первоочередная* задача этого года.
sveobuhvatan	Potreban je *sveobuhvatan* pristup problemu.	Нужен *всеобъемлющий* подход к проблеме.
nesumnjiv	Njegov talenat je *nesumnjiv*.	Его талант *несомненен*.
uzajaman	Njihov odnos počiva na *uzajamnom* poverenju.	Их отношения держатся на *взаимном* доверии.
proizvodan	Ta reč je *proizvodna*, nastala od glagola.	Это слово *производное*, образовано от глагола.
zamršen	Slučaj je *zamršeniji* nego što se činilo.	Дело *запутаннее*, чем казалось.
zacelo	*Zacelo* je i sam znao za to.	Он *наверняка* и сам об этом знал.
naposletku	*Naposletku* su ipak postigli dogovor.	*В конце концов* они всё же договорились.
usput	*Usput* je pomenuo i tu pojedinost.	*Попутно* он упомянул и эту подробность.
navlastito	Ovo se odnosi *navlastito* na početnike.	Это относится *в особенности* к начинающим.
shodno	Postupili su *shodno* uputstvu.	Они поступили *в соответствии* с инструкцией.
nadasve	Cenio je *nadasve* tačnost.	Он ценил *превыше всего* точность.
ponajviše	Za to je zaslužan *ponajviše* on sam.	В этом заслуга *более всего* его самого.
tobože	*Tobože* ništa nije primetio.	*Будто бы* он ничего не заметил.
valjda	*Valjda* će se javiti do večeras.	*Вероятно*, он позвонит до вечера.
jedva	*Jedva* smo stigli na voz.	Мы *едва* успели на поезд.
