theme	lemma	translation	pos	note
Чувства	zavist	зависть	NOUN	ж
Чувства	stid	стыд	NOUN	м
Чувства	ponos	гордость	NOUN	м
Чувства	nemir	беспокойство	NOUN	м
Чувства	sažaljenje	жалость	NOUN	с
Чувства	oduševljenje	восторг	NOUN	с
Чувства	ravnodušnost	равнодушие	NOUN	ж
Чувства	razočarati	разочаровать	VERB	сврш.
Чувства	oduševiti	привести в восторг	VERB	сврш.
Чувства	uznemiriti	встревожить	VERB	сврш.
Глаголы	podrazumevati	подразумевать	VERB	несврш.
Глаголы	uslovljavati	обусловливать	VERB	несврш.
Глаголы	proizlaziti	вытекать, следовать	VERB	несврш.
Глаголы	nadoknaditi	возместить	VERB	сврш.
Глаголы	prilagoditi	приспособить	VERB	сврш.
Глаголы	usmeriti	направить	VERB	сврш.
Глаголы	ograničiti	ограничить	VERB	сврш.
Глаголы	proširiti	расширить	VERB	сврш.
Глаголы	nametnuti	навязать	VERB	сврш.
Глаголы	zanemariti	пренебречь	VERB	сврш.
Глаголы	istaknuti	выделить	VERB	сврш.
Глаголы	suočiti	столкнуть лицом к лицу	VERB	сврш.
Глаголы	suprotstaviti	противопоставить	VERB	сврш.
Глаголы	oslanjati	опираться	VERB	несврш.
Глаголы	obuhvatiti	охватить	VERB	сврш.
Глаголы	preduzeti	предпринять	VERB	сврш.
Признаки	suštinski	существенный	ADJ
Признаки	prividan	кажущийся	ADJ
Признаки	uslovan	условный	ADJ
Признаки	dosledan	последовательный	ADJ
Признаки	proizvoljan	произвольный	ADJ
Признаки	neizbežan	неизбежный	ADJ
Признаки	sporan	спорный	ADJ
Признаки	temeljan	основательный	ADJ
Признаки	površan	поверхностный	ADJ
Признаки	prikladan	подходящий	ADJ
Признаки	nedovoljan	недостаточный	ADJ
Признаки	preteran	чрезмерный	ADJ
Признаки	umeren	умеренный	ADJ
Признаки	odlučan	решительный	ADJ
Признаки	oprezan	осторожный	ADJ
Наречия	naime	а именно	ADV
Наречия	uostalom	впрочем	ADV
Наречия	štaviše	более того	ADV
Наречия	nasuprot	напротив	ADV
Наречия	stoga	поэтому	ADV
Наречия	utoliko	настолько	ADV
Наречия	svakako	безусловно	ADV
Наречия	navodno	якобы	ADV
Наречия	uglavnom	в основном	ADV
Наречия	delimično	частично	ADV
Наречия	postepeno	постепенно	ADV
Наречия	istovremeno	одновременно	ADV
Наречия	naprotiv	наоборот	ADV
Наречия	otprilike	приблизительно	ADV
